,product,total,repurchase,rate
0,FRESH Soy Face Cleanser,1412,8,0.0056657223796034
1,YOUTH TO THE PEOPLE Superfood Antioxidant Cleanser,914,5,0.005470459518599562
2,FARMACY Green Clean Makeup Removing Cleansing Balm,1481,0,0.0
3,FRESH Sugar Strawberry Exfoliating Face Wash,591,0,0.0
4,PHILOSOPHY Purity Made Simple Cleanser,1647,8,0.004857316332726169
5,FRESH Soy Face Cleanser Limited Edition,54,0,0.0
6,TATCHA The Deep Cleanse Exfoliating Cleanser,954,0,0.0
7,DRUNK ELEPHANT Beste™ No. 9 Jelly Cleanser,479,0,0.0
8,YOUTH TO THE PEOPLE Limited Edition Pride Superfood Antioxidant Cleanser,32,0,0.0
9,TATCHA Pure One Step Camellia Oil Cleanser,1111,0,0.0
10,FIRST AID BEAUTY Pure Skin Face Cleanser,1417,15,0.01058574453069866
11,CLINIQUE Take The Day Off Cleansing Balm,1509,7,0.004638833664678595
12,DRUNK ELEPHANT Slaai™ Makeup-Melting Butter Cleanser,420,0,0.0
13,THE ORDINARY Squalane Cleanser,30,0,0.0
14,ORIGINS Checks and Balances™ Frothy Face Wash,1389,9,0.0064794816414686825
15,KORRES Greek Yoghurt Foaming Cream Cleanser,1554,0,0.0
16,KATE SOMERVILLE ExfoliKate® Cleanser Daily Foaming Wash,518,0,0.0
17,OLEHENRIKSEN The Clean Truth™ Foaming Cleanser,1223,18,0.014717906786590351
18,LA MER The Cleansing Foam,67,0,0.0
19,OLEHENRIKSEN Find Your Balance™ Oil Control Cleanser,778,0,0.0
20,BOSCIA MakeUp-BreakUp Cool Cleansing Oil,1392,9,0.00646551724137931
21,CLINIQUE Liquid Facial Soap,1443,31,0.021483021483021482
22,DERMALOGICA Special Cleansing Gel,122,2,0.01639344262295082
23,TATA HARPER Regenerating Exfoliating Cleanser,331,0,0.0
24,CAUDALIE Instant Foaming Cleanser,989,32,0.032355915065722954
25,BOSCIA Detoxifying Black Charcoal Cleanser,1552,10,0.006443298969072165
26,KIEHL'S SINCE 1851 Calendula Deep Clean Foaming Face Wash,120,0,0.0
27,EVE LOM Cleanser,385,0,0.0
28,GLOW RECIPE Blueberry Bounce Gentle Cleanser,295,0,0.0
29,KIEHL'S SINCE 1851 Ultra Facial Cleanser,510,0,0.0
30,MURAD Clarifying Cleanser,1531,26,0.016982364467668192
31,KATE SOMERVILLE EradiKate® Daily Cleanser Acne Treatment,391,0,0.0
32,DRUNK ELEPHANT Baby Pekee Bar™ + Juju Bar Travel Duo,374,0,0.0
33,DERMALOGICA Precleanse Cleansing Oil,129,0,0.0
34,DR. DENNIS GROSS SKINCARE Alpha Beta® Pore Perfecting Cleansing Gel,167,0,0.0
35,MURAD AHA/BHA Exfoliating Cleanser,567,9,0.015873015873015872
36,PETER THOMAS ROTH Anti-Aging Cleansing Gel,1378,38,0.027576197387518143
37,TATA HARPER Clarifying Blemish & Oil Control Cleanser,92,0,0.0
38,CAUDALIE Micellar Cleansing Water,460,4,0.008695652173913044
39,IT COSMETICS Confidence in a Cleanser,226,0,0.0
40,FARMACY Clean Bee Ultra Gentle Facial Cleanser,396,0,0.0
41,AMOREPACIFIC Treatment Cleansing Foam,397,6,0.015113350125944584
42,SK-II Facial Treatment Cleanser,87,0,0.0
43,SKINFIX Barrier+ Foaming Oil Cleanser,258,0,0.0
44,CLINIQUE Acne Solutions Cleansing Foam,888,23,0.0259009009009009
45,INDIE LEE Brightening Cleanser,225,0,0.0
46,ESTÉE LAUDER Nutritious Super-Pomegranate Radiant Energy 2-in-1 Cleansing Foam,35,0,0.0
47,PHILOSOPHY The Microdelivery Exfoliating Facial Wash,2776,99,0.035662824207492796
48,DRUNK ELEPHANT Pekee™ Cleansing Bar,306,0,0.0
49,MURAD Time Release Acne Cleanser,620,11,0.017741935483870968
50,BIOSSANCE Squalane + Antioxidant Cleansing Oil,210,1,0.004761904761904762
51,SHISEIDO Benefiance Extra Creamy Cleansing Foam,80,0,0.0
52,TARTE Deep Dive Cleansing Gel Rainforest of the Sea™,826,0,0.0
53,CLARINS Gentle Foaming Cleanser with Cottonseed,474,11,0.023206751054852322
54,SUNDAY RILEY Ceramic Slip Cleanser,764,0,0.0
55,ORIGINS GinZing™ Refreshing Scrub Cleanser,1112,1,0.0008992805755395684
56,BELIF Witch Hazel Herbal Extract Toner,201,0,0.0
57,IT COSMETICS Bye Bye Makeup Cleansing Balm,349,0,0.0
58,SHISEIDO Clarifying Cleansing Foam,16,0,0.0
59,OLEHENRIKSEN Truth™ On the Glow Cleansing Cloths,464,0,0.0
60,DRUNK ELEPHANT JuJu Exfoliating Bar,277,0,0.0
61,KIEHL'S SINCE 1851 Rare Earth Deep Pore Daily Cleanser,96,0,0.0
62,CLINIQUE Pep-Start 2-in-1 Exfoliating Cleanser,330,1,0.0030303030303030303
63,LA MER The Cleansing Foam Mini,8,0,0.0
